id,long,lat,FC,PWP,VW_g_per_cm3,FC_mm,PWP_mm,AW_mm
buu-lse-02,28.38388,40.13769,32.49,14.8,1.45,141.1,64.27,76.84
buu-lse-03,28.38262,40.1391,29.17,14.38,1.47,128.41,63.28,65.13
buu-lse-05,28.38417,40.13674,32.88,15.28,1.42,139.72,64.94,74.78
buu-lse-07,28.38308,40.13753,31.66,15.99,1.44,137.1,69.24,67.86
buu-lse-09,28.38332,40.13663,32.96,16.36,1.43,141.5,70.25,71.25
buu-lse-10,28.38375,40.13898,29.12,12.92,1.5,131.11,58.19,72.92
buu-lse-12,28.38355,40.13574,34.03,15.74,1.42,144.51,66.82,77.7
buu-lse-13,28.38251,40.1379,32.21,16.09,1.44,139.28,69.56,69.71
buu-lse-15,28.38446,40.13754,33.86,15.01,1.45,147.68,65.47,82.21
buu-lse-08,28.38276,40.14099,28.07,9.87,1.56,131.58,46.27,85.31
buu-lse-11,28.38291,40.13999,28.79,11.1,1.52,130.91,50.47,80.44
buu-lse-14,28.38288,40.14046,27.4,6.61,1.56,127.92,30.87,97.05
buu-lse-18,28.38384,40.14022,28,6.87,1.46,122.38,30.05,92.33
