,result.end_device_ids.device_id,result.received_at,result.uplink_message.decoded_payload.conduct_SOIL,result.uplink_message.decoded_payload.temp_SOIL,result.uplink_message.decoded_payload.water_SOIL,result.uplink_message.locations.user.latitude,result.uplink_message.locations.user.longitude
0,uni-gent-23,2023-01-30T11:09:59.061493398Z,164,20.85,17.43,50.69193131140707,4.218750000000001
1,uni-gent-23,2023-01-30T10:49:59.074939820Z,165,20.83,17.47,50.69193131140707,4.218750000000001
2,uni-gent-23,2023-01-30T10:29:59.092197854Z,166,20.77,17.51,50.69193131140707,4.218750000000001
3,uni-gent-23,2023-01-30T10:10:07.106879466Z,166,20.73,17.55,50.69193131140707,4.218750000000001
4,uni-gent-23,2023-01-30T08:50:07.148542909Z,168,20.43,17.71,50.69193131140707,4.218750000000001
5,uni-gent-23,2023-01-30T08:09:59.168594190Z,168,20.38,17.72,50.69193131140707,4.218750000000001
6,uni-gent-23,2023-01-30T07:50:15.182959253Z,169,20.36,17.72,50.69193131140707,4.218750000000001
7,uni-gent-23,2023-01-30T07:10:07.198881205Z,170,20.33,17.73,50.69193131140707,4.218750000000001
8,uni-gent-23,2023-01-30T06:50:07.208065988Z,170,20.32,17.74,50.69193131140707,4.218750000000001
9,uni-gent-23,2023-01-30T06:29:59.219370222Z,170,20.31,17.75,50.69193131140707,4.218750000000001
10,uni-gent-23,2023-01-30T06:10:07.236376945Z,170,20.27,17.78,50.69193131140707,4.218750000000001
11,uni-gent-23,2023-01-30T05:29:59.248705435Z,171,20.23,17.81,50.69193131140707,4.218750000000001
12,uni-gent-23,2023-01-30T05:10:07.254282587Z,171,20.22,17.83,50.69193131140707,4.218750000000001
13,uni-gent-23,2023-01-30T04:49:59.266071908Z,171,20.21,17.84,50.69193131140707,4.218750000000001
14,uni-gent-23,2023-01-30T04:29:59.280044965Z,172,20.19,17.85,50.69193131140707,4.218750000000001
15,uni-gent-23,2023-01-30T04:10:07.288003741Z,172,20.17,17.86,50.69193131140707,4.218750000000001
16,uni-gent-23,2023-01-30T03:50:07.314582273Z,172,20.14,17.87,50.69193131140707,4.218750000000001
17,uni-gent-23,2023-01-30T03:30:07.312955099Z,172,20.13,17.87,50.69193131140707,4.218750000000001
18,uni-gent-23,2023-01-30T02:49:59.337660245Z,172,20.11,17.88,50.69193131140707,4.218750000000001
19,uni-gent-23,2023-01-30T02:30:07.399032184Z,173,20.09,17.92,50.69193131140707,4.218750000000001
20,uni-gent-23,2023-01-30T01:30:07.370208050Z,174,20.03,17.96,50.69193131140707,4.218750000000001
21,uni-gent-23,2023-01-30T00:49:59.397000582Z,174,20.02,17.99,50.69193131140707,4.218750000000001
22,uni-gent-23,2023-01-30T00:29:59.407297226Z,174,20.01,18.00,50.69193131140707,4.218750000000001
23,uni-gent-24,2023-01-30T00:20:06.720596746Z,623,19.92,23.31,50.9390460271824,4.4384765625
24,uni-gent-25,2023-01-30T00:12:18.383567666Z,151,20.12,15.87,47.231502752625545,4.570312500000001
25,uni-gent-23,2023-01-30T00:10:07.414970545Z,175,19.99,18.01,50.69193131140707,4.218750000000001
26,uni-gent-23,2023-01-29T23:49:59.430336146Z,176,19.96,18.02,50.69193131140707,4.218750000000001
27,uni-gent-23,2023-01-29T23:29:59.437690397Z,176,19.94,18.02,50.69193131140707,4.218750000000001
28,uni-gent-23,2023-01-29T23:09:59.439569706Z,176,19.93,18.03,50.69193131140707,4.218750000000001
29,uni-gent-24,2023-01-29T23:00:06.866351639Z,624,19.85,23.34,50.9390460271824,4.4384765625
30,uni-gent-23,2023-01-29T22:30:07.457440106Z,176,19.92,18.05,50.69193131140707,4.218750000000001
